utc,Label,Speed,HDOP,Satelites,Latitude,Longitude,Altitude,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,session_id,motion_disagreement,motion_mismatch,speed_per_dyn_mag,speed_per_jerk_std
250426_101940.000,1,4.86,1.02,8,58.380932,8.680921,46.099998,-6.897326,4.436772,0.104395,1.562962,1.379425,-0.014817,-0.102943,0.009029,0.107265,0.024657,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.160191,46.112127,3.497849
250426_101950.000,1,4.57,1.02,8,58.38097,8.681135,43.700001,-7.835064,2.420894,0.147728,0.569217,1.670369,0.117674,-0.08759,-0.017442,0.103087,0.032038,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.249755,30.727288,2.719641
250426_101951.000,1,4.36,1.02,8,58.380981,8.68115,43.5,-7.974159,3.446298,0.09033,1.255499,1.664981,-0.080894,0.023844,-0.03236,0.09662,0.033115,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.13706,47.738882,2.603015
250426_101952.000,1,4.11,1.02,8,58.380981,8.681165,43.299999,-7.420263,3.810793,0.227596,4.834807,1.711913,-0.020956,0.074119,0.214166,0.094855,0.033007,24.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.414092,17.979333,2.38688
250426_102002.000,1,5.3,1.02,8,58.380989,8.681386,46.0,-7.684784,4.247687,0.110828,0.232994,1.656607,-0.055194,-0.081064,0.051625,0.054701,0.018017,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.168656,47.394117,3.180115
250426_102003.000,1,5.22,1.02,8,58.380989,8.681399,46.299999,-7.760419,4.636252,0.058526,0.38774,1.058869,-0.053927,-0.001044,0.022717,0.047474,0.010884,19.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.064851,87.693299,4.883668
250426_102014.000,1,3.02,1.02,8,58.380901,8.681378,49.599998,-7.799312,4.941743,0.010651,0.742885,1.063001,0.001092,0.000314,0.01059,0.05049,0.00847,21.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.008898,259.203086,2.814537
250426_102015.000,1,3.0,1.02,8,58.38089,8.68138,49.700001,-8.452383,4.837038,0.148282,2.017166,1.201011,0.024226,-0.047207,0.138463,0.07688,0.014219,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.266563,20.096243,2.477269
250426_102025.000,1,3.51,1.02,8,58.380772,8.681355,50.400002,-8.682353,5.041738,0.059258,0.610157,0.941683,-0.029164,-0.042326,0.029487,0.070209,0.010922,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.083416,58.249449,3.688203
250426_102026.000,1,3.69,1.02,8,58.380749,8.68137,50.400002,-8.864517,5.327498,0.052732,1.434956,0.792856,-0.03539,-0.006983,-0.038463,0.069921,0.009748,19.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.068563,68.674607,4.596089
250426_102027.000,1,3.85,1.02,8,58.380741,8.681368,50.400002,-8.742473,6.161588,0.048068,0.482137,0.796509,-0.040211,0.024173,-0.010453,0.068102,0.010584,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.057636,78.462465,4.773661
250426_102048.000,1,3.23,0.99,9,58.380508,8.681425,44.900002,-8.655786,6.137714,0.007532,1.004205,0.854006,-0.000601,-0.005355,0.005262,0.066829,0.010991,19.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.017237,378.593476,3.7384
250426_102049.000,1,3.31,0.99,9,58.380489,8.681427,44.599998,-7.714921,6.21327,0.09116,2.557687,1.58818,-0.005031,0.072465,-0.055079,0.071947,0.013179,19.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.14922,35.915795,2.071105
250426_102050.000,1,3.31,0.99,9,58.380482,8.681427,44.299999,-7.892608,6.299447,0.028858,0.887924,1.615175,0.022943,-0.016969,-0.004297,0.071355,0.013559,21.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.024617,110.856592,2.036704
250426_102101.000,1,4.78,0.99,9,58.380341,8.681503,39.900002,-7.334695,6.694806,0.12246,1.829936,1.644197,-0.090513,0.022176,0.079449,0.070162,0.014714,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.197121,38.716878,2.88962
