time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
424,105728.000,A,0,58.38221,8.676269,28.7,4.11,0.89,10,3.23,1,-0.2719727,0.953125,-0.100708,110.3189,-68.74359,0.9962723,0.9962723,0.09505484
427,105729.000,A,0,58.38221,8.676274,28.6,4.23,1.04,9,6.99,1,-0.3115234,0.9127197,-0.1109619,109.6054,-70.0836,0.9707814,0.9707814,-0.008496941
430,105729.000,A,0,58.38221,8.676274,28.6,4.23,1.04,9,6.99,1,-0.4534912,1.606689,0.3394775,53.18195,-70.57858,1.703629,1.703629,0.2442824
433,105745.000,A,0,58.38236,8.67626,27.4,2.5,1.04,9,336.09,1,-0.07421875,0.829834,-0.3215332,167.0022,-68.31449,0.8930378,0.8930378,-0.2701969
436,105746.000,A,0,58.38238,8.676261,27.1,2.87,1.04,9,353.45,1,0.001708984,0.6004639,-0.3865967,-173.2874,-48.94569,0.7141545,0.7141545,-0.05962775
439,105746.000,A,0,58.38238,8.676261,27.1,3.1484,1.04,9,345.93,1,0.2814941,0.6516113,-0.05603027,-101.2573,-66.22787,0.7120223,0.7120223,-0.0007107656
442,105747.000,A,0,58.38239,8.676256,26.9,3.16,1.04,9,345.93,1,0.1429443,0.6936035,-0.0008544922,-90.34249,-78.35478,0.7081805,0.7081805,-0.001280586
445,105748.000,A,0,58.38241,8.676253,26.8,3.37,1.06,8,346.08,1,0.1402588,0.895752,-0.01513672,-96.15951,-80.0625,0.9067928,0.9067928,0.06620411
448,105748.000,A,0,58.38241,8.676253,26.8,3.37,1.06,8,346.08,1,0.2144775,1.026123,-0.09143066,-113.0883,-79.2321,1.052278,1.052278,0.048495
451,105804.000,A,0,58.38264,8.676245,24.0,5.39,1.43,7,353.32,1,-0.1760254,1.770386,-0.3651123,155.5124,-73.58898,1.816193,1.816193,0.2546384
454,105804.000,A,0,58.38264,8.676245,24.0,5.64,1.43,7,352.06,1,-0.1831055,0.8676758,-0.201416,137.7263,-72.5824,0.9093719,0.9093719,-0.3022737
457,105804.000,A,0,58.38264,8.676245,24.0,5.64,1.43,7,352.06,1,-0.6230469,0.9405518,-0.1533203,110.7968,-65.33943,1.138566,1.138566,0.07639795
460,105806.000,A,0,58.38268,8.676248,24.0,5.85,1.56,6,340.47,1,0.01135254,0.7039795,-0.2406006,-177.2985,-71.11149,0.7440461,0.7440461,-0.1315066
463,105807.000,A,0,58.38271,8.676248,24.1,5.99,1.09,8,358.92,1,0.04772949,0.5994873,-0.2542725,-169.3687,-69.68261,0.65293,0.65293,-0.03037205
466,105807.000,A,0,58.38271,8.676248,24.1,5.99,1.09,8,358.92,1,0.04016113,0.6279297,-0.2630615,-170.3652,-67.15133,0.6819897,0.6819897,0.009686569
469,105823.000,A,0,58.38293,8.676238,20.2,5.63008,1.11,7,20.36,1,-0.002563477,0.6385498,-0.2220459,178.5208,-72.38412,0.6760597,0.6760597,-0.001976649
472,105823.000,A,0,58.38293,8.676238,20.2,5.40784,1.11,7,19.26,1,-0.1763916,0.6109619,-0.1778564,135.2369,-67.70645,0.6603191,0.6603191,-0.005246878
475,105823.000,A,0,58.38293,8.676238,20.2,5.40784,1.11,7,19.26,1,0.03063965,0.5218506,-0.1962891,-171.128,-71.59537,0.5583872,0.5583872,-0.03397731
478,105825.000,A,0,58.38295,8.676271,19.4,5.45,1.47,6,16.19,1,-0.08007813,0.5906982,-0.1640625,153.9832,-72.82561,0.6182665,0.6182665,0.01995977
481,105826.000,A,0,58.38296,8.676274,19.2,5.3,1.25,7,13.2,1,-0.1801758,0.8067627,-0.2026367,138.3579,-71.42238,0.8511116,0.8511116,0.07761505
484,105826.000,A,0,58.38296,8.676274,19.2,5.0004,1.25,7,2.34,1,-0.06933594,0.6235352,-0.1652832,157.2421,-75.38651,0.6487851,0.6487851,-0.06744215
487,105842.000,A,0,58.38312,8.676261,14.6,4.97,1.74,5,2.34,1,-0.1617432,0.7171631,-0.1628418,136.3509,-73.89949,0.7529948,0.7529948,0.03473656
490,105843.000,A,0,58.38314,8.67626,14.5,5.31,1.74,5,16.97,1,-0.1794434,0.789917,-0.1651611,132.6267,-72.84229,0.8267085,0.8267085,0.02457124
493,105843.000,A,0,58.38314,8.67626,14.5,5.1856,1.74,5,16.97,1,-0.07336426,0.5612793,-0.1407471,152.4693,-71.4404,0.5832893,0.5832893,-0.08113972
496,105844.000,A,0,58.38315,8.676282,14.3,5.29,1.74,5,16.97,1,-0.1575928,0.6328125,-0.1604004,135.5058,-70.45887,0.6715768,0.6715768,0.02942916
499,105845.000,A,0,58.38318,8.676315,13.9,5.56,1.74,5,6.07,1,-0.2302246,1.041016,-0.3066406,143.1009,-69.77924,1.10939,1.10939,0.1459376
502,105846.000,A,0,58.38317,8.676342,13.9,5.01,1.08,7,25.53,1,-0.06359863,1.063232,-0.3387451,169.3666,-72.03907,1.117701,1.117701,0.002770543
505,105846.000,A,0,58.38317,8.676342,13.9,5.01,1.08,7,25.53,1,-0.1290283,0.8590088,-0.2248535,150.1514,-71.73848,0.8972755,0.8972755,-0.07347524
508,105902.000,A,0,58.38331,8.676256,14.8,3.19,1.47,6,25.53,1,-0.1417236,0.8808594,-0.3128662,167.2489,-69.9902,0.9454544,0.9454544,0.01605962
